N_hat,N_sd,T_hat,T_sd,R_hat,R_sd,pub_id,date,year
0.17529976340541126,0.08828074811686669,0.22672042525790934,0.14963966767965795,-0.05142066185249808,0.11896020789826231,p90,1998-01-01,1998
0.3361948003748342,0.14877347809011476,0.2988438321387508,0.1537638537817551,0.03735096823608336,0.15126866593593494,p96,1998-01-01,1998
0.18275300617328083,0.0811291335503872,0.2096848677894818,0.10259149890134248,-0.02693186161620098,0.09186031622586484,p94,1998-01-01,1998
0.2906518007359164,0.14449212594859234,0.27083238200685683,0.13992808871042575,0.019819418729059568,0.14221010732950906,p93,1998-06-01,1998
0.1833294663806838,0.09982925831113296,0.2176305703563119,0.1443290759140048,-0.034301103975628106,0.12207916711256887,p91,1998-09-01,1998
0.17467229164193168,0.08803988253939266,0.21393428261738318,0.11155160857052407,-0.039261990975451494,0.09979574555495836,p92,1998-10-01,1998
0.19178509946036465,0.11234492480362497,0.2377144507908823,0.1617487793143979,-0.04592935133051765,0.13704685205901143,p95,1998-10-01,1998
0.20936289314827783,0.10152195311586508,0.21781350823384313,0.08437721619219073,-0.0084506150855653,0.0929495846540279,p89,1998-11-01,1998
0.3800980706682715,0.15536216544742693,0.35390456936112397,0.15620703734962152,0.026193501307147538,0.15578460139852424,p241,1999-01-01,1999
0.2820776377113087,0.145768534051805,0.28163281087061187,0.13781208052288707,0.00044482684069685474,0.14179030728734604,p139,1999-03-01,1999
0.23627557151799655,0.13138363900803637,0.25915234436201723,0.12091598996180833,-0.022876772844020676,0.12614981448492235,p242,1999-03-01,1999
0.2296052437783317,0.13678518058838232,0.2116283306663564,0.15005303671460288,0.0179769131119753,0.1434191086514926,p249,1999-04-01,1999
0.3109614679541563,0.15837225841402214,0.31783267399848075,0.16048561039875409,-0.006871206044324452,0.1594289344063881,p243,1999-05-01,1999
0.2719314359217044,0.14900890750635412,0.2586715835859781,0.11642122606560819,0.013259852335726297,0.13271506678598116,p244,1999-06-01,1999
0.23549653590175035,0.14765603437015917,0.24587382101109764,0.15330983760002292,-0.010377285109347295,0.15048293598509105,p246,1999-10-01,1999
0.25058345235665663,0.13081920046537301,0.21425711874767997,0.095491982819725,0.03632633360897666,0.11315559164254901,p245,1999-11-01,1999
0.21354355116959967,0.12224784106548149,0.21124133810069612,0.14096123711734088,0.002302213068903547,0.13160453909141118,p248,1999-11-01,1999
0.2594132483123328,0.16054935461992303,0.2961307275008658,0.1559154066663516,-0.036717479188532964,0.15823238064313733,p247,1999-12-01,1999
0.4520219955649461,0.1613324399947393,0.41789069054494865,0.12930840691125187,0.03413130501999745,0.1453204234529956,p174,2000-01-01,2000
0.22962927070685946,0.14200001289337832,0.195492703474329,0.12742349465283717,0.034136567232530446,0.13471175377310773,p166,2000-03-01,2000
0.22554521996463803,0.1473918062990896,0.19980012712339681,0.1222027420927936,0.025745092841241213,0.1347972741959416,p165,2000-03-01,2000
0.2449205916724378,0.12882545192723005,0.206268943412348,0.10281522822257258,0.038651648260089794,0.11582034007490132,p167,2000-04-01,2000
0.2181132532077493,0.15303243643089903,0.19127910087788988,0.12711403112588274,0.026834152329859418,0.14007323377839087,p175,2000-08-01,2000
0.310264436071873,0.15473550973176262,0.28230977316784783,0.12487329514079816,0.02795466290402515,0.1398044024362804,p168,2000-09-01,2000
0.21979658855975237,0.14888583560265373,0.1736948619446146,0.11296715589710371,0.046101726615137784,0.13092649574987872,p172,2000-09-01,2000
0.22101838582397396,0.08675887969838658,0.148594893610716,0.0678574928044532,0.07242349221325795,0.07730818625141989,p173,2000-12-01,2000
0.21179840370452124,0.10914985632920841,0.1577220901975863,0.09824586904324258,0.05407631350693495,0.1036978626862255,p176,2000-12-01,2000
0.20621444389333848,0.10088046148548045,0.15905702552395384,0.08051618257781565,0.04715741836938464,0.09069832203164804,p195,2001-01-01,2001
0.24134694722697,0.15658650948928177,0.26836713361886216,0.13739672131701763,-0.02702018639189216,0.1469916154031497,p201,2001-03-01,2001
0.26959751689536027,0.13120440091078733,0.20150383690233742,0.10210629587019131,0.06809367999302285,0.11665534839048933,p194,2001-03-01,2001
0.18293634322896138,0.10949282930325653,0.16188773069980153,0.10714041879031547,0.02104861252915985,0.10831662404678599,p197,2001-03-01,2001
0.2604170631227454,0.12033995456094097,0.19943107298171317,0.08234499276991471,0.060985990141032204,0.10134247366542784,p198,2001-04-01,2001
0.18089579946177395,0.09928265047726044,0.15574114537355385,0.08732519641621064,0.025154654088220096,0.09330392344673555,p202,2001-06-01,2001
0.24819558137182254,0.12381052594145077,0.221728045943685,0.10941318928377478,0.02646753542813754,0.11661185761261278,p170,2001-10-01,2001
0.2950945561872179,0.136465029818663,0.2957782753485777,0.1262605655482077,-0.0006837191613597859,0.13136279768343534,p200,2001-10-01,2001
0.22027281701807952,0.08846696602462156,0.19981919129354786,0.08779418968837224,0.02045362572453166,0.0881305778564969,p193,2001-10-01,2001
0.1830815592003114,0.12347048087437709,0.14329427213913853,0.0914366326679956,0.03978728706117288,0.10745355677118634,p169,2001-10-01,2001
